"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"Q9Y6C9-1","reviewed","MTCH2","Q9Y6C9-1","E9PIE4-1"
"Q658T7-1","reviewed","FAM90A2P","Q658T7-1",""
"Q658T7-1","reviewed","FAM90A2P","Q658T7-2",""
"P30613-1","reviewed","PKLR","P30613-1","A0A0G2JLC7-1"
"P30613-1","reviewed","PKLR","P30613-2","F8W6W2-1"
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-1",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-2",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-3",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-4",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-5",""
"A0A1W2PQ27-1","unreviewed","SSU72P7","","A0A1W2PQ27-1"
"P51788-1","reviewed","CLCN2","P51788-1","A0A1B0GVL9-1"
"P51788-1","reviewed","CLCN2","P51788-2","A0A1B0GVU4-1"
"P51788-1","reviewed","CLCN2","P51788-3","A0A1B0GUY6-1"
"P51788-1","reviewed","CLCN2","P51788-4","H7C0Q8-1"
"P51788-1","reviewed","CLCN2","P51788-5","A0A1B0GVW7-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GTY0-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GTJ3-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GUZ8-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GWC8-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GV52-1"
"P23919-1","reviewed","DTYMK","P23919-2","H7BZ20-1"
"P23919-1","reviewed","DTYMK","P23919-1","H7C3A4-1"
"P23919-1","reviewed","DTYMK","","H7C312-1"
"P23919-1","reviewed","DTYMK","","G5E9E9-1"
"Q8NHX4-1","reviewed","SPATA3","Q8NHX4-1","A0A087WU50-1"
"Q8NHX4-1","reviewed","SPATA3","","H7C3E6-1"
"Q8NHX4-1","reviewed","SPATA3","","H7C283-1"
"Q8NHX4-1","reviewed","SPATA3","","F8WDD9-1"
"Q8NHX4-1","reviewed","SPATA3","","A0A2R8Y5R0-1"
"Q8NHX9-1","reviewed","TPCN2","Q8NHX9-1","A0A1B0GVQ7-1"
"Q8NHX9-1","reviewed","TPCN2","","A0A1B0GTM1-1"
"Q8NHX9-1","reviewed","TPCN2","","A0A1B0GUM5-1"
"Q8NHX9-1","reviewed","TPCN2","","E7ETX0-1"
"Q9NXR8-1","reviewed","ING3","Q9NXR8-1","E7ET07-1"
"Q9NXR8-1","reviewed","ING3","Q9NXR8-2","A0A0C4DG38-1"
"Q9NXR8-1","reviewed","ING3","Q9NXR8-3",""
"Q9C0H5-1","reviewed","ARHGAP39","Q9C0H5-1",""
"Q9C0H5-1","reviewed","ARHGAP39","Q9C0H5-2",""
"Q9C0H9-5","reviewed","SRCIN1","Q9C0H9-2",""
"Q9C0H9-5","reviewed","SRCIN1","Q9C0H9-4",""
"Q9C0H9-5","reviewed","SRCIN1","Q9C0H9-5",""
"Q9NXR1-2","reviewed","NDE1","Q9NXR1-1",""
"Q9NXR1-2","reviewed","NDE1","Q9NXR1-2",""
"Q07960-1","reviewed","ARHGAP1","Q07960-1","H0YE29-1"
"Q07960-1","reviewed","ARHGAP1","","E9PNR6-1"
"Q9NXR5-1","reviewed","ANKRD10","Q9NXR5-1","S4R3R2-1"
"Q9NXR5-1","reviewed","ANKRD10","Q9NXR5-2","Q8IUW1-1"
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-1",""
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-2",""
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-3",""
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-4",""
"Q96J66-1","reviewed","ABCC11","Q96J66-1","H3BRJ2-1"
"Q96J66-1","reviewed","ABCC11","Q96J66-2",""
"P40424-1","reviewed","PBX1","P40424-2","H0YLF5-1"
"P40424-1","reviewed","PBX1","P40424-3","S4R377-1"
"P40424-1","reviewed","PBX1","P40424-1","H0YLD4-1"
"P40424-1","reviewed","PBX1","","F8WA05-1"
"P40424-1","reviewed","PBX1","","A0A0A0MTI0-1"
"P40424-1","reviewed","PBX1","","H0YKH1-1"
"P40424-1","reviewed","PBX1","","H0YLM3-1"
"P40424-1","reviewed","PBX1","","A0A087X0P4-1"
"P40424-1","reviewed","PBX1","","H0YLT4-1"
"P40424-1","reviewed","PBX1","","H0YLB0-1"
"P40425-1","reviewed","PBX2","P40425-1",""
"P40426-1","reviewed","PBX3","P40426-1","H0Y5D0-1"
"P40426-1","reviewed","PBX3","P40426-2","U3KQA2-1"
"P40426-1","reviewed","PBX3","P40426-3","H3BLX0-1"
"P40426-1","reviewed","PBX3","P40426-4","Q5JS98-1"
"P40426-1","reviewed","PBX3","P40426-5",""
"Q9H2I8-1","reviewed","LRMDA","Q9H2I8-1","A0A087WWI0-1"
"Q9H2I8-1","reviewed","LRMDA","","A0A087WZZ7-1"
"Q9H2I8-1","reviewed","LRMDA","","M0R2H0-1"
"P08842-1","reviewed","STS","P08842-1",""
"P03891-1","reviewed","MT-ND2","P03891-1",""
"Q5VUR7-1","reviewed","ANKRD20A3","Q5VUR7-1","A0A087WY83-1"
"P03897-1","reviewed","MT-ND3","P03897-1",""
"P02768-1","reviewed","ALB","P02768-1","H0YA55-1"
"P02768-1","reviewed","ALB","P02768-2","H7C013-1"
"P02768-1","reviewed","ALB","P02768-3","D6RHD5-1"
"P02768-1","reviewed","ALB","","D6RCE7-1"
"P02768-1","reviewed","ALB","","A0A087WWT3-1"
"P02768-1","reviewed","ALB","","B7WNR0-1"
"P02768-1","reviewed","ALB","","A0A0C4DGB6-1"
"P02768-1","reviewed","ALB","","C9JKR2-1"
"P02760-1","reviewed","AMBP","P02760-1","S4R471-1"
"P02760-1","reviewed","AMBP","","S4R3Y4-1"
"P02763-1","reviewed","ORM1","P02763-1",""
"P02765-1","reviewed","AHSG","P02765-1","C9JV77-1"
"P02766-1","reviewed","TTR","P02766-1","A0A087WV45-1"
"P02766-1","reviewed","TTR","","A0A087WT59-1"
"Q9H5J8-1","reviewed","TAF1D","Q9H5J8-1","E9PM59-1"
"Q9H5J8-1","reviewed","TAF1D","","E9PKU8-1"
"Q9H5J8-1","reviewed","TAF1D","","H0YH71-1"
"Q9H5J8-1","reviewed","TAF1D","","H0YG36-1"
"Q9H5J8-1","reviewed","TAF1D","","H0YCH2-1"
"Q9H5J8-1","reviewed","TAF1D","","A0A1D5RMT6-1"
"Q9H5J8-1","reviewed","TAF1D","","H0Y3L3-1"
"Q9P2J3-1","reviewed","KLHL9","Q9P2J3-1",""
"P39023-1","reviewed","RPL3","P39023-1","F8WCR1-1"
"P39023-1","reviewed","RPL3","","B5MCW2-1"
"P39023-1","reviewed","RPL3","","H7C3M2-1"
"P39023-1","reviewed","RPL3","","H7C422-1"
"P39023-1","reviewed","RPL3","","G5E9G0-1"
"H0YL14-1","reviewed","TMEM250","H0YL14-1","H3BQM9-1"
"H0YL14-1","reviewed","TMEM250","","H3BVA3-1"
"O43399-1","reviewed","TPD52L2","O43399-1","A0A087WYR3-1"
"O43399-1","reviewed","TPD52L2","O43399-2","A0A087WZ51-1"
"O43399-1","reviewed","TPD52L2","O43399-3",""
"O43399-1","reviewed","TPD52L2","O43399-4",""
"O43399-1","reviewed","TPD52L2","O43399-5",""
"O43399-1","reviewed","TPD52L2","O43399-6",""
"O43399-1","reviewed","TPD52L2","O43399-7",""
"Q9P219-1","reviewed","CCDC88C","Q9P219-2","G3V3S0-1"
"Q9P219-1","reviewed","CCDC88C","Q9P219-3","Q0P665-1"
"Q9P219-1","reviewed","CCDC88C","Q9P219-1","A0A0A0MR69-1"
"Q9P219-1","reviewed","CCDC88C","","H0YJX5-1"
"Q9P218-1","reviewed","COL20A1","Q9P218-2","B7ZBI5-1"
"Q9P218-1","reviewed","COL20A1","Q9P218-3","B7ZBI4-1"
"Q9P218-1","reviewed","COL20A1","Q9P218-1",""
"Q9P215-1","reviewed","POGK","Q9P215-1","Q5TIJ2-1"
"Q9P217-1","reviewed","ZSWIM5","Q9P217-1",""
"Q9P212-1","reviewed","PLCE1","Q9P212-1",""
"Q9P212-1","reviewed","PLCE1","Q9P212-2",""
"Q9H3M7-1","reviewed","TXNIP","Q9H3M7-1",""
"Q9H3M7-1","reviewed","TXNIP","Q9H3M7-2",""
"Q9H3M0-1","reviewed","KCNF1","Q9H3M0-1",""
"Q5VVP1-1","reviewed","SPATA31A6","Q5VVP1-1",""
"O60603-1","reviewed","TLR2","O60603-1","A0A0S2Z4L7-1"
"O60603-1","reviewed","TLR2","","A0A2R8Y4N9-1"
"O60603-1","reviewed","TLR2","","A0A2R8Y7R7-1"
"O60603-1","reviewed","TLR2","","A0A2R8YHF6-1"
"Q9BZG2-1","reviewed","ACP4","Q9BZG2-1",""
"Q9BZG2-1","reviewed","ACP4","Q9BZG2-2",""
"Q9BZG2-1","reviewed","ACP4","Q9BZG2-3",""
"Q9BZG8-1","reviewed","DPH1","Q9BZG8-1","K7EQQ6-1"
"Q9BZG8-1","reviewed","DPH1","Q9BZG8-2","A0A0A0MTR4-1"
"Q9BZG8-1","reviewed","DPH1","Q9BZG8-3","I3L3X9-1"
"Q9BZG8-1","reviewed","DPH1","","I3L1H5-1"
"Q9BZG8-1","reviewed","DPH1","","V9GYC0-1"
"Q9BZG8-1","reviewed","DPH1","","U3KQN3-1"
"Q9BZG8-1","reviewed","DPH1","","V9GYS2-1"
"Q8NBD8-1","reviewed","TMEM229B","Q8NBD8-1","G3V5K9-1"
"Q8NBD8-1","reviewed","TMEM229B","","G3V2T8-1"
"Q8NBD8-1","reviewed","TMEM229B","","G3V528-1"
"Q8NBD8-1","reviewed","TMEM229B","","G3V4W3-1"
"P01236-1","reviewed","PRL","P01236-1","Q5I0G2-1"
"P01236-1","reviewed","PRL","","A6XMH3-1"
"P01236-1","reviewed","PRL","","A0A494C0Z0-1"
"P01236-1","reviewed","PRL","","A0A494C1P2-1"
"Q92598-1","reviewed","HSPH1","Q92598-1","A0A0A0MSM0-1"
"Q92598-1","reviewed","HSPH1","Q92598-2","R4GN69-1"
"Q92598-1","reviewed","HSPH1","Q92598-3","Q5TBM3-1"
"Q92598-1","reviewed","HSPH1","Q92598-4",""
"Q8N865-1","reviewed","C7orf31","Q8N865-1","C9J431-1"
"Q8N865-1","reviewed","C7orf31","","C9JF06-1"
"Q8N865-1","reviewed","C7orf31","","C9JTB1-1"
"Q15573-1","reviewed","TAF1A","Q15573-1","Q5JRA7-1"
"Q15573-1","reviewed","TAF1A","Q15573-2",""
"A6NCC3-2","reviewed","GOLGA8O","A6NCC3-1",""
"A6NCC3-2","reviewed","GOLGA8O","A6NCC3-2",""
"Q15572-1","reviewed","TAF1C","Q15572-1","H3BUZ7-1"
"Q15572-1","reviewed","TAF1C","Q15572-2","H3BNH3-1"
"Q15572-1","reviewed","TAF1C","Q15572-4","H3BQH8-1"
"Q15572-1","reviewed","TAF1C","Q15572-5","H3BR91-1"
"Q15572-1","reviewed","TAF1C","Q15572-6","H3BQZ8-1"
"Q15572-1","reviewed","TAF1C","","H3BMQ4-1"
"Q15572-1","reviewed","TAF1C","","H3BR71-1"
"Q15572-1","reviewed","TAF1C","","H3BTQ6-1"
"Q6NX49-1","reviewed","ZNF544","Q6NX49-1","M0QX86-1"
"Q6NX49-1","reviewed","ZNF544","","M0QY11-1"
"Q6NX49-1","reviewed","ZNF544","","M0QZY0-1"
"Q6NX49-1","reviewed","ZNF544","","M0R0U7-1"
"Q6NX49-1","reviewed","ZNF544","","M0R2F0-1"
"Q6NX49-1","reviewed","ZNF544","","J3KQC8-1"
"Q6NX49-1","reviewed","ZNF544","","Q8IVS5-1"
"Q6NX49-1","reviewed","ZNF544","","M0QZM7-1"
"P09001-1","reviewed","MRPL3","P09001-1","E7ETU7-1"
"P09001-1","reviewed","MRPL3","","H0Y9G6-1"
"P09001-1","reviewed","MRPL3","","E9PF06-1"
"P09001-1","reviewed","MRPL3","","D6RC14-1"
"P09001-1","reviewed","MRPL3","","D6RBQ5-1"
"P04035-1","reviewed","HMGCR","P04035-1","H0Y8F6-1"
"P04035-1","reviewed","HMGCR","P04035-2","H0Y8K6-1"
"P04035-1","reviewed","HMGCR","P04035-3","D6RIW0-1"
"P04035-1","reviewed","HMGCR","","C9JKX7-1"
"Q6NX45-1","reviewed","ZNF774","Q6NX45-1","H0YNW6-1"
"Q6NX45-1","reviewed","ZNF774","","H0YLG8-1"
"Q6NX45-1","reviewed","ZNF774","","E7EQ77-1"
"Q9H963-1","reviewed","ZNF702P","Q9H963-1",""
"Q14568-1","reviewed","HSP90AA2P","Q14568-1",""
"Q9H967-1","reviewed","WDR76","Q9H967-1","C9JE56-1"
"Q9H967-1","reviewed","WDR76","","A0A0C4DFX7-1"
"Q14563-1","reviewed","SEMA3A","Q14563-1","A0A0C4DG50-1"
"Q14563-1","reviewed","SEMA3A","","C9JD25-1"
"Q14563-1","reviewed","SEMA3A","","C9J9C4-1"
"Q14562-1","reviewed","DHX8","Q14562-1","K7EJH9-1"
"Q14562-1","reviewed","DHX8","","F5H658-1"
"Q14562-1","reviewed","DHX8","","K7END7-1"
"Q14562-1","reviewed","DHX8","","K7EQH7-1"
"Q14566-1","reviewed","MCM6","Q14566-1",""
"Q9NRH1-1","reviewed","YAE1","Q9NRH1-1","C9IZ57-1"
"Q9NRH1-1","reviewed","YAE1","Q9NRH1-2",""
"Q9NRH2-1","reviewed","SNRK","Q9NRH2-1","E7EUC4-1"
"Q9NRH2-1","reviewed","SNRK","Q9NRH2-2",""
"Q9NRH3-1","reviewed","TUBG2","Q9NRH3-1",""
"A6NIR3-1","reviewed","AGAP5","A6NIR3-1","U3KQ60-1"
"A6NIR3-1","reviewed","AGAP5","","J3KQL4-1"
"A6NIR3-1","reviewed","AGAP5","","A0A0D9SFU9-1"
"Q6ZMG9-1","reviewed","CERS6","Q6ZMG9-1",""
"Q6ZMG9-1","reviewed","CERS6","Q6ZMG9-2",""
"Q96T91-1","reviewed","GPHA2","Q96T91-1","E9PLQ0-1"
"Q92527-1","reviewed","ANKRD7","Q92527-1","A0A0U1RQQ7-1"
"Q92527-1","reviewed","ANKRD7","Q92527-2","C9JIJ7-1"
"Q92527-1","reviewed","ANKRD7","","C9J2M7-1"
"Q92526-1","reviewed","CCT6B","Q92526-1","J3KRI6-1"
"Q92526-1","reviewed","CCT6B","Q92526-2",""
"Q92526-1","reviewed","CCT6B","Q92526-3",""
"Q92521-1","reviewed","PIGB","Q92521-1","H3BQU3-1"
"Q92521-1","reviewed","PIGB","","F5H1S1-1"
"Q92521-1","reviewed","PIGB","","H3BRK6-1"
"Q92521-1","reviewed","PIGB","","H3BNW7-1"
"Q92521-1","reviewed","PIGB","","H3BS45-1"
"Q92520-1","reviewed","FAM3C","Q92520-1","C9JMN4-1"
"Q92520-1","reviewed","FAM3C","","C9JP35-1"
"Q92523-1","reviewed","CPT1B","Q92523-1","C9J7C3-1"
"Q92523-1","reviewed","CPT1B","Q92523-2","H7C0S1-1"
"Q92523-1","reviewed","CPT1B","Q92523-3",""
"Q92523-1","reviewed","CPT1B","Q92523-4",""
"Q92522-1","reviewed","H1FX","Q92522-1",""
"M0R1B8-1","unreviewed","","","M0R1B8-1"
"Q92529-1","reviewed","SHC3","Q92529-1","Q5T7I8-1"
"Q92529-1","reviewed","SHC3","Q92529-2",""
"Q86VY9-1","reviewed","TMEM200A","Q86VY9-1",""
"Q9Y5S8-1","reviewed","NOX1","Q9Y5S8-2","Q5H9D4-1"
"Q9Y5S8-1","reviewed","NOX1","Q9Y5S8-3","A6NGA6-1"
"Q9Y5S8-1","reviewed","NOX1","Q9Y5S8-1","H0Y581-1"
"Q02878-1","reviewed","RPL6","Q02878-1","F8VZ45-1"
"Q02878-1","reviewed","RPL6","","U3KQR5-1"
"Q02878-1","reviewed","RPL6","","F8VR69-1"
"Q02878-1","reviewed","RPL6","","F8VU16-1"
"Q02878-1","reviewed","RPL6","","F8VWR1-1"
"Q02878-1","reviewed","RPL6","","F8VZA3-1"
"Q96HA1-1","reviewed","POM121","Q96HA1-1",""
"Q96HA1-1","reviewed","POM121","Q96HA1-3",""
"Q96HA1-1","reviewed","POM121","Q96HA1-2",""
"Q96HA9-1","reviewed","PEX11G","Q96HA9-1","M0R328-1"
"Q96HA9-1","reviewed","PEX11G","Q96HA9-2",""
"Q96HA8-1","reviewed","WDYHV1","Q96HA8-1","A0A3B3ITD7-1"
"Q96HA8-1","reviewed","WDYHV1","Q96HA8-2","A0A3B3IS49-1"
"Q96HA8-1","reviewed","WDYHV1","","E5RIY9-1"
"Q96HA8-1","reviewed","WDYHV1","","E5RHC2-1"
"Q96HA8-1","reviewed","WDYHV1","","H0YBV4-1"
"Q96HA8-1","reviewed","WDYHV1","","A0A3B3ITI2-1"
"Q9C0H2-1","reviewed","TTYH3","Q9C0H2-2","H7C3T6-1"
"Q9C0H2-1","reviewed","TTYH3","Q9C0H2-3","A8MXJ9-1"
"Q9C0H2-1","reviewed","TTYH3","Q9C0H2-4",""
"Q9C0H2-1","reviewed","TTYH3","Q9C0H2-1",""
"Q8IXU6-1","reviewed","SLC35F2","Q8IXU6-2","E9PJD1-1"
"Q8IXU6-1","reviewed","SLC35F2","Q8IXU6-3","E9PKZ2-1"
"Q8IXU6-1","reviewed","SLC35F2","Q8IXU6-1","E9PRY2-1"
"A0A494C0I6-1","unreviewed","","","A0A494C0I6-1"
"Q9C0H6-1","reviewed","KLHL4","Q9C0H6-1",""
"Q9C0H6-1","reviewed","KLHL4","Q9C0H6-2",""
"P43363-1","reviewed","MAGEA10","P43363-1","C9J9A2-1"
"P43363-1","reviewed","MAGEA10","","J3QRD7-1"
"P43363-1","reviewed","MAGEA10","","J3KT71-1"
"P43363-1","reviewed","MAGEA10","","C9J958-1"
"Q9Y3X0-1","reviewed","CCDC9","Q9Y3X0-1","M0R2W0-1"
"Q9Y3X0-1","reviewed","CCDC9","","M0QZR0-1"
"Q9Y3X0-1","reviewed","CCDC9","","M0QYB4-1"
"Q9Y3X0-1","reviewed","CCDC9","","A0A2R8Y4Z8-1"
"Q15768-1","reviewed","EFNB3","Q15768-1",""
"Q96BT1-1","reviewed","C3orf49","Q96BT1-1","A0A087WV64-1"
"Q96BT1-1","reviewed","C3orf49","","A0A2R8Y7G4-1"
"Q96BT1-1","reviewed","C3orf49","","A0A2R8YD18-1"
"Q8WUF5-1","reviewed","PPP1R13L","Q8WUF5-1","K7ENG6-1"
"Q8WUF5-1","reviewed","PPP1R13L","","K7EPP1-1"
"Q8WUF5-1","reviewed","PPP1R13L","","K7EN03-1"
"Q8WUF5-1","reviewed","PPP1R13L","","K7EML6-1"
"Q96BT3-1","reviewed","CENPT","Q96BT3-1","H3BTR4-1"
"Q96BT3-1","reviewed","CENPT","Q96BT3-2","H3BMP6-1"
"Q96BT3-1","reviewed","CENPT","Q96BT3-3","H3BQS6-1"
"Q96BT3-1","reviewed","CENPT","","H3BQJ0-1"
"Q96BT3-1","reviewed","CENPT","","I3L4F8-1"
"Q96BT3-1","reviewed","CENPT","","H3BQ71-1"
"Q96BT3-1","reviewed","CENPT","","H3BN05-1"
"Q96BT3-1","reviewed","CENPT","","H3BTS2-1"
"Q96BT3-1","reviewed","CENPT","","H3BUW2-1"
"O95522-1","reviewed","PRAMEF12","O95522-1",""
"O95521-1","reviewed","PRAMEF1","O95521-1",""
"Q99519-1","reviewed","NEU1","Q99519-1","A0A0G2JKS5-1"
"Q99519-1","reviewed","NEU1","","E9PIF4-1"
"O15417-1","reviewed","TNRC18","O15417-2","H9KVB4-1"
"O15417-1","reviewed","TNRC18","O15417-3","C9J9K1-1"
"O15417-1","reviewed","TNRC18","O15417-1","A8MTZ4-1"
"O15417-1","reviewed","TNRC18","","H7C0N9-1"
"O15417-1","reviewed","TNRC18","","H7C177-1"
"O15417-1","reviewed","TNRC18","","H7C3U5-1"
"O15417-1","reviewed","TNRC18","","H7BXS9-1"
"P43361-1","reviewed","MAGEA8","P43361-1",""
"Q96RU7-1","reviewed","TRIB3","Q96RU7-1","B0QYQ2-1"
"Q96RU7-1","reviewed","TRIB3","","A0A087WTX3-1"
"Q96RU7-1","reviewed","TRIB3","","J3KR25-1"
"Q96J65-1","reviewed","ABCC12","Q96J65-1","E9PHY2-1"
"Q96J65-1","reviewed","ABCC12","Q96J65-2","B4DYN2-1"
"Q96J65-1","reviewed","ABCC12","Q96J65-3","A0A3B3ITL4-1"
"Q96J65-1","reviewed","ABCC12","Q96J65-4",""
"Q96J65-1","reviewed","ABCC12","Q96J65-5",""
"Q96RU3-1","reviewed","FNBP1","Q96RU3-1","H0Y7W6-1"
"Q96RU3-1","reviewed","FNBP1","Q96RU3-2","B7ZL14-1"
"Q96RU3-1","reviewed","FNBP1","Q96RU3-3",""
"Q96RU3-1","reviewed","FNBP1","Q96RU3-4",""
"Q96RU3-1","reviewed","FNBP1","Q96RU3-5",""
"Q96RU2-1","reviewed","USP28","Q96RU2-1","F5GZ74-1"
"Q96RU2-1","reviewed","USP28","Q96RU2-2","F5H6Q3-1"
"Q96RU2-1","reviewed","USP28","Q96RU2-3","B4E3L3-1"
"Q96RU2-1","reviewed","USP28","","H0YFD7-1"
"Q96RU2-1","reviewed","USP28","","H0YH19-1"
"Q96RU2-1","reviewed","USP28","","H0YFA0-1"
"Q96RU2-1","reviewed","USP28","","H0YFX3-1"
"Q96RU2-1","reviewed","USP28","","H0YFT9-1"
"Q96RU2-1","reviewed","USP28","","F5H2G4-1"
"Q96RU2-1","reviewed","USP28","","G3V1N5-1"
"Q96RU2-1","reviewed","USP28","","H0YG96-1"
"Q4VC39-1","reviewed","HIGD2B","Q4VC39-1",""
"Q9Y5A7-1","reviewed","NUB1","Q9Y5A7-1","H7C5E1-1"
"Q9Y5A7-1","reviewed","NUB1","Q9Y5A7-2","F8WDB6-1"
"Q9Y5A7-1","reviewed","NUB1","","H3BM14-1"
"Q9Y5A7-1","reviewed","NUB1","","H7C5N1-1"
"Q9Y5A7-1","reviewed","NUB1","","F8WDL9-1"
"Q9Y5A7-1","reviewed","NUB1","","C9JRT6-1"
"Q9Y5A7-1","reviewed","NUB1","","C9J7X7-1"
"Q9Y5A7-1","reviewed","NUB1","","H3BM74-1"
"Q9Y5A6-1","reviewed","ZSCAN21","Q9Y5A6-1","G3V0F4-1"
"Q9Y5A6-1","reviewed","ZSCAN21","","G3V1M0-1"
"Q9Y5A6-1","reviewed","ZSCAN21","","C9JHD9-1"
"Q13643-1","reviewed","FHL3","Q13643-1",""
"Q13642-2","reviewed","FHL1","Q13642-2",""
"Q13642-2","reviewed","FHL1","Q13642-1",""
"Q13642-2","reviewed","FHL1","Q13642-3",""
"Q13642-2","reviewed","FHL1","Q13642-4",""
"Q13642-2","reviewed","FHL1","Q13642-5",""
"Q9Y5A9-1","reviewed","YTHDF2","Q9Y5A9-1","S4R3V3-1"
"Q9Y5A9-1","reviewed","YTHDF2","Q9Y5A9-2","S4R3J8-1"
"Q9ULV0-1","reviewed","MYO5B","Q9ULV0-2","A0A0A0MR36-1"
"Q9ULV0-1","reviewed","MYO5B","Q9ULV0-3",""
"Q9ULV0-1","reviewed","MYO5B","Q9ULV0-1",""
"Q9NS40-1","reviewed","KCNH7","Q9NS40-2","A0A087X077-1"
"Q9NS40-1","reviewed","KCNH7","Q9NS40-1","A0A087WZQ1-1"
"Q02127-1","reviewed","DHODH","Q02127-1","J3QRQ3-1"
"Q02127-1","reviewed","DHODH","","I3L449-1"
"Q02127-1","reviewed","DHODH","","I3NI32-1"
"Q02127-1","reviewed","DHODH","","J3QRJ4-1"
"A6NH00-1","reviewed","OR2T8","A6NH00-1",""
"Q96CN9-1","reviewed","GCC1","Q96CN9-1",""
"Q6ZRV3-1","reviewed","LINC00696","Q6ZRV3-1",""
"Q6ZRV2-1","reviewed","FAM83H","Q6ZRV2-1","J3KPS2-1"
"Q6ZRV2-1","reviewed","FAM83H","","A0A494C1T9-1"
"P43364-1","reviewed","MAGEA11","P43364-2","G5E962-1"
"P43364-1","reviewed","MAGEA11","P43364-1","C9J2X2-1"
"Q96CN5-1","reviewed","LRRC45","Q96CN5-1","J3KTD4-1"
"Q96CN4-1","reviewed","EVI5L","Q96CN4-2","M0QYX4-1"
"Q96CN4-1","reviewed","EVI5L","Q96CN4-1","M0R1Y1-1"
"P10645-1","reviewed","CHGA","P10645-1","G5E968-1"
"P10645-1","reviewed","CHGA","","G3V2Q7-1"
"P10644-1","reviewed","PRKAR1A","P10644-2","X6RAV4-1"
"P10644-1","reviewed","PRKAR1A","P10644-1","K7EPB2-1"
"P10644-1","reviewed","PRKAR1A","","K7EQK3-1"
"P10644-1","reviewed","PRKAR1A","","K7EKR1-1"
"P10644-1","reviewed","PRKAR1A","","K7EMZ6-1"
"P10644-1","reviewed","PRKAR1A","","K7EIE5-1"
"P10644-1","reviewed","PRKAR1A","","K7EK41-1"
"P10644-1","reviewed","PRKAR1A","","K7EPR5-1"
"P10644-1","reviewed","PRKAR1A","","K7EJ40-1"
"P10644-1","reviewed","PRKAR1A","","K7EMU2-1"
"P10644-1","reviewed","PRKAR1A","","K7EID3-1"
"P10644-1","reviewed","PRKAR1A","","K7EM13-1"
"P48556-1","reviewed","PSMD8","P48556-1","K7ENY6-1"
"P48556-1","reviewed","PSMD8","","K7ERW6-1"
"P48556-1","reviewed","PSMD8","","K7EJC1-1"
"P48556-1","reviewed","PSMD8","","R4GMR5-1"
"P48556-1","reviewed","PSMD8","","K7EK21-1"
"P48556-1","reviewed","PSMD8","","K7EJR3-1"
"P10646-1","reviewed","TFPI","P10646-1","C9JKV3-1"
"P10646-1","reviewed","TFPI","P10646-2","C9J103-1"
"P10646-1","reviewed","TFPI","","C9JP39-1"
"P10646-1","reviewed","TFPI","","C9JQ14-1"
"P10646-1","reviewed","TFPI","","C9JT76-1"
"P48551-1","reviewed","IFNAR2","P48551-1","C9JCU0-1"
"P48551-1","reviewed","IFNAR2","P48551-2","C9JM33-1"
"P48551-1","reviewed","IFNAR2","P48551-3","H7C176-1"
"P48551-1","reviewed","IFNAR2","","F8WDE1-1"
"P48551-1","reviewed","IFNAR2","","C9K067-1"
"P48552-1","reviewed","NRIP1","P48552-1","C9J130-1"
"P48552-1","reviewed","NRIP1","","A0A1B0GUG9-1"
"P48553-1","reviewed","TRAPPC10","P48553-1","F8WE24-1"
"P48553-1","reviewed","TRAPPC10","P48553-2",""
"P36894-1","reviewed","BMPR1A","P36894-1","A0A087X0P8-1"
"Q5T6X4-1","reviewed","FAM162B","Q5T6X4-1",""
"Q5T6X5-1","reviewed","GPRC6A","Q5T6X5-1",""
"Q5T6X5-1","reviewed","GPRC6A","Q5T6X5-2",""
"Q5T6X5-1","reviewed","GPRC6A","Q5T6X5-3",""
"Q14CS0-1","reviewed","UBXN2B","Q14CS0-1","E5RJ36-1"
"Q14CS0-1","reviewed","UBXN2B","","E5RGJ4-1"
"Q14CS0-1","reviewed","UBXN2B","","H0YAX6-1"
"A8MZ59-1","reviewed","LEUTX","A8MZ59-1","A0A1W2PQ33-1"
"Q03989-1","reviewed","ARID5A","Q03989-1","F6Q9D3-1"
"Q03989-1","reviewed","ARID5A","Q03989-5",""
"Q9BR01-1","reviewed","SULT4A1","Q9BR01-2","F8WE22-1"
"Q9BR01-1","reviewed","SULT4A1","Q9BR01-1",""
"P16520-1","reviewed","GNB3","P16520-2","E9PCP0-1"
"P16520-1","reviewed","GNB3","P16520-1","F5H100-1"
"P16520-1","reviewed","GNB3","","F5H8J8-1"
"P16520-1","reviewed","GNB3","","F5H0S8-1"
